//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

akwardpotion;minecraft:potion;16;Неловкое Зелье
alchemistamulet;millenaire:item.ml_dwarves_amulet;0;item.ml_dwarves_amulet.name
alchimistexplosive;millenaire:tile.ml_stone_deco;3;tile.ml_stone_deco.3.name
arrow;minecraft:arrow;0;Стрела
beefcooked;minecraft:cooked_beef;0;Стейк
beefraw;minecraft:beef;0;Сырая говядина
bone;minecraft:bone;0;Кость
book;minecraft:book;0;Книга
bookandquill;minecraft:writable_book;0;Книга и перо
bookshelves;minecraft:bookshelf;0;Книжная полка
bottle;minecraft:glass_bottle;0;Пузырёк
boudin;millenaire:item.ml_boudin;0;item.ml_boudin.name
bow;minecraft:bow;0;Лук
bowlempty;minecraft:bowl;0;Миска
bowlsoup;minecraft:mushroom_stew;0;Тушеные грибы
bread;minecraft:bread;0;Хлеб
brickmould;millenaire:item.ml_brickmould;0;item.ml_brickmould.name
bricks;minecraft:brick_block;0;Кирпичи
bucketempty;minecraft:bucket;0;Ведро
bucketlava;minecraft:lava_bucket;0;Ведро лавы
bucketmilk;minecraft:milk_bucket;0;Ведро молока
bucketwater;minecraft:water_bucket;0;Ведро воды
byzantineboots;millenaire:item.ml_byzantineBoots;0;item.ml_byzantineBoots.name
byzantinehelmet;millenaire:item.ml_byzantineHelmet;0;item.ml_byzantineHelmet.name
byzantineiconlarge;millenaire:item.ml_byzantineiconlarge;0;item.ml_byzantineiconlarge.name
byzantineiconmedium;millenaire:item.ml_byzantineiconmedium;0;item.ml_byzantineiconmedium.name
byzantineiconsmall;millenaire:item.ml_byzantineicon;0;item.ml_byzantineicon.name
byzantinelegs;millenaire:item.ml_byzantineLegs;0;item.ml_byzantineLegs.name
byzantinemace;millenaire:item.ml_byzantineMace;0;item.ml_byzantineMace.name
byzantineplate;millenaire:item.ml_byzantinePlate;0;item.ml_byzantinePlate.name
byzantinestonetiles;millenaire:tile.byzantine_mixedbrick;0;tile.byzantine_mixedbrick.name
byzantinetiles;millenaire:tile.byzantine_brick;0;tile.byzantine_brick.name
byzantinetileslab;millenaire:tile.byzantine_brick_slab;0;tile.byzantine_brick_slab.name
cacauhaa;millenaire:item.ml_cacauhaa;0;item.ml_cacauhaa.name
cactus;minecraft:cactus;0;Кактус
cake;minecraft:cake;0;Торт
calva;millenaire:item.ml_calva;0;item.ml_calva.name
carrot;minecraft:carrot;0;Морковь
chainboots;minecraft:chainmail_boots;0;Кольчужные ботинки
chainchest;minecraft:chainmail_chestplate;0;Кольчуга
chainhelmet;minecraft:chainmail_helmet;0;Койф
chainlegs;minecraft:chainmail_leggings;0;Кольчужные поножи
chickencurry;millenaire:item.ml_chickencurry;0;item.ml_chickencurry.name
chickenmeat;minecraft:chicken;0;Курятина
chickenmeatcooked;minecraft:cooked_chicken;0;Жареная курица
cider;millenaire:item.ml_cider;0;item.ml_cider.name
ciderapple;millenaire:item.ml_ciderapple;0;item.ml_ciderapple.name
clay;minecraft:clay_ball;0;Глина
clock;minecraft:clock;0;Часы
clothes_byz_silk;millenaire:item.ml_clothes;1;item.clothes_byz_silk.name
clothes_byz_wool;millenaire:item.ml_clothes;0;item.clothes_byz_wool.name
coal;minecraft:coal;0;Уголь
cobblestone;minecraft:cobblestone;0;Булыжник
compass;minecraft:compass;0;Компас
cookedbrick;millenaire:tile.ml_stone_deco;0;tile.ml_stone_deco.0.name
cookie;minecraft:cookie;0;Печенье
denier;millenaire:item.ml_denier;0;item.ml_denier.name
denierargent;millenaire:item.ml_denier_argent;0;item.ml_denier_argent.name
denieror;millenaire:item.ml_denier_or;0;item.ml_denier_or.name
diamond;minecraft:diamond;0;Алмаз
diamondaxe;minecraft:diamond_axe;0;Алмазный топор
diamondboots;minecraft:diamond_boots;0;Алмазные ботинки
diamondchest;minecraft:diamond_chestplate;0;Алмазный нагрудник
diamondhelmet;minecraft:diamond_helmet;0;Алмазный шлем
diamondhoe;minecraft:diamond_hoe;0;Алмазная мотыга
diamondlegs;minecraft:diamond_leggings;0;Алмазные поножи
diamondpickaxe;minecraft:diamond_pickaxe;0;Алмазная кирка
diamondshovel;minecraft:diamond_shovel;0;Алмазная лопата
diamondsword;minecraft:diamond_sword;0;Алмазный меч
dirt;minecraft:dirt;0;Земля
dirtwall;millenaire:tile.ml_earth_deco;1;tile.ml_earth_deco.1.name
dye_black;minecraft:dye;0;Чернильный мешок
dye_blue;minecraft:dye;4;Лазурит
dye_brown;minecraft:dye;3;Какао-бобы
dye_cyan;minecraft:dye;6;Бирюзовый краситель
dye_gray;minecraft:dye;8;Серый краситель
dye_green;minecraft:dye;2;Зеленый краситель
dye_lightblue;minecraft:dye;12;Голубой краситель
dye_lightgray;minecraft:dye;7;Светло-серый краситель
dye_lime;minecraft:dye;10;Лаймовый краситель
dye_magenta;minecraft:dye;13;Пурпурный краситель
dye_orange;minecraft:dye;14;Оранжевый краситель
dye_pink;minecraft:dye;9;Розовый краситель
dye_purple;minecraft:dye;5;Фиолетовый краситель
dye_red;minecraft:dye;1;Красный краситель
dye_white;minecraft:dye;15;Костная мука
dye_yellow;minecraft:dye;11;Желтый краситель
egg;minecraft:egg;0;Яйцо
enderpearl;minecraft:ender_pearl;0;Жемчуг Эндера
feather;minecraft:feather;0;Перо
feta;millenaire:item.ml_feta;0;item.ml_feta.name
fishcooked;minecraft:cooked_fished;0;Приготовленная рыба
fishraw;minecraft:fish;0;Сырая рыба
flint;minecraft:flint;0;Кремень
flintandsteel;minecraft:flint_and_steel;0;Огниво
ghasttear;minecraft:ghast_tear;0;Слеза Гаста
glass;minecraft:glass;0;Стекло
gold;minecraft:gold_ingot;0;Золотой слиток
goldaxe;minecraft:golden_axe;0;Золотой топор
goldboots;minecraft:golden_boots;0;Золотые ботинки
goldchest;minecraft:golden_chestplate;0;Золотой нагрудник
goldhelmet;minecraft:golden_helmet;0;Золотой шлем
goldhoe;minecraft:golden_hoe;0;Золотая мотыга
goldlegs;minecraft:golden_leggings;0;Золотые поножи
goldore;minecraft:gold_ore;0;Золотая руда
goldpickaxe;minecraft:golden_pickaxe;0;Золотая кирка
goldshovel;minecraft:golden_shovel;0;Золотая лопата
goldsword;minecraft:golden_sword;0;Золотой меч
grapes;millenaire:item.ml_vine;0;item.ml_vine.name
gravel;minecraft:gravel;0;Гравий
